GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Ampd3	1.3263	1.0075	1.8468	0	0	0	0	0	0	0	0	0	0.402439	0.5	0.4563686667	0.297297	0.448529	0.3597196667	0.272727	0.528	0.372172	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Pcp4l1	-3.0176	-2.4634	-1.9222	0.5	0.634731	0.5819473333	0	0.37963	0.2166333333	0.515152	1	0.676768	0.611111	0.611111	0.611111	0.27027	0.27027	0.27027	0.515152	0.515152	0.515152	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Sfrp1	-1.7891	-1.2303	-0.7062	0.551724	0.617391	0.5845575	0.555556	0.576923	0.5662395	0.518797	0.533333	0.526065	0.438776	0.551724	0.49525	0.417722	0.576923	0.4973225	0.533333	0.7	0.6166665	+	6	AllLow	VeryLightGreen	0.00005	0.00005	0.0015
Ncf4	-0.179	0.7519	2.0677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.72995	0.01595	0.00045
Nfkbia	1.7512	1.4883	2.1094	0.25	0.256684	0.253342	0.156627	0.6	0.3783135	0.1625	1	0.58125	0.25	0.333333	0.2916665	0.486111	0.6	0.5430555	0.454545	1	0.7272725	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Gbp10	2.982	-0.4845	2.2783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	19	EarlyVUpEstLowLateUp	DarkPink	0.373	1	0.00255
Ccno	-1.5334	-1.6978	-0.9866	0	0.661972	0.436899625	0.117647	0.6	0.370421125	0.3	0.692308	0.47799875	0.3	0.560811	0.4549905	0.307692	0.5	0.39051575	0.436364	0.692308	0.57917675	+	4	AllVLow	Yellow	0.0015	0.0005	0.01955
Cgnl1	1.3998	2.012	1.3789	0.698413	0.714286	0.7063495	0	0.690909	0.3454545	0.447761	0.5	0.4738805	0.474531	0.714286	0.5944085	0	0.481481	0.2407405	0.5	0.56391	0.531955	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Ccl7	1.3379	0.998	1.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Gdf6	0.7171	1.6488	0.6661	0.508547	0.659574	0.5788456	0.243243	0.6	0.3979508	0.376623	0.433735	0.4030228	0.518286	0.637681	0.5779835	0.49694	0.6	0.54847	0.423077	0.498371	0.460724	+	12	EarlyNEstUpLateN	LightBlue	0.0177	0.00005	0.0114
Slc11a1	0.9011	2.0766	2.2783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0816	0.00005	0.0002
Rarres2	0.775	1.7835	1.3388	0.2	0.509231	0.3546155	0.379747	1	0.6898735	0.5	0.574163	0.5370815	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	0.25875	0.00065	0.0004
Ptpro	0.8065	1.2773	1.7902	0.25	0.571717	0.4318003333	0.285714	0.4925	0.3844046667	0.333333	0.540541	0.4710363333	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	1	0.0016	0.0031
Serpina3i	1.9007	0.3015	2.393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0045	0.35415	0.00005
Serpina3n	-0.5987	-1.2561	1.5164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.0682	0.00005	0.00005
Dlx3	-1.8491	-1.1567	-1.0218	0.368421	0.491429	0.445165	0.344538	0.440986	0.4007303333	0.408163	0.53211	0.482029	0.368421	0.572289	0.4999658	0.344538	0.416667	0.3763366	0.408163	0.622951	0.5153932	+	6	AllLow	VeryLightGreen	0.00055	0.0065	0.0034
Sp7	-3.8348	-3.8423	-2.2941	0.404215	0.547194	0.49169425	0.411565	0.420819	0.41781875	0.502113	0.539841	0.51874525	0	0	0	0	0	0	0	0	0	-	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.00005
BB123696	-1.8107	-3.1033	0.3357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	3	EarlyVLowEstVLowLateLow	Orange	1	0.00005	0.5437
Rgs20	1.0968	2.2384	-0.6804	0.413793	0.56	0.494968	0.491228	0.777778	0.627303	0.3125	0.446154	0.383837	0	0	0	0	0	0	0	0	0	-	13	EarlyNEstUpLateLow	Blue	0.00205	0.00005	0.11485
Gdf10	-2.5728	-2.1776	-1.9148	0.495565	0.571429	0.533497	0.518018	0.8	0.659009	0.492344	0.692308	0.592326	0.488764	0.571429	0.5300965	0.453125	0.8	0.6265625	0.642857	0.692308	0.6675825	+	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Usp18	1.1668	2.3842	0.5517	0	0.472934	0.236467	0.506024	0.6	0.553012	0	0.540323	0.2701615	0	0.491554	0.245777	0.466844	0.6	0.533422	0	0.562372	0.281186	+	12	EarlyNEstUpLateN	LightBlue	0.00045	0.00005	0.0173
Cd300a	0.3995	1.6851	1.5153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	1	0.00035	0.00735
Acan	-4.5881	-3.5771	-4.2305	0.410714	0.428571	0.4196425	0.230769	0.533333	0.382051	0.387755	1	0.6938775	0.428571	0.572308	0.5004395	0.230769	0.409574	0.3201715	0.590444	1	0.795222	+	2	AllExtremelyLow	DarkOrange	0.00005	0.00005	0.00005
Gdpd2	-2.122	-0.9195	-0.0688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00005	0.0248	0.84315
Tmem132e	2.3418	1.3326	2.5561	0.471861	0.712871	0.570467	0.4	0.632812	0.4988112	0.219512	0.64878	0.4576738	0.5	0.518919	0.5094595	0.4	0.458333	0.4291665	0.375	0.578512	0.476756	+	16	AllVUp	DarkPurple	0.00005	0.0081	0.00005
Trim30a	2.0384	2.2132	1.3995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Ppl	1.3125	1.7974	2.3383	0	0.666667	0.3643404	0.0666667	0.575758	0.33662154	0.478261	1	0.6395016	0.333333	0.590278	0.4776043333	0.342857	0.469697	0.3867933333	0.478261	0.56044	0.524264	-	15	AllMildUp	SeaBlue	0.0002	0.00005	0.00005
Cyyr1	0.1191	0.8033	1.8106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	1	0.1738	0.00205
Kcnk13	0.1345	1.5917	0.9006	0	0.625899	0.3927233333	0.25	0.6	0.39841	0.39759	0.666667	0.5307238333	0.512821	0.526316	0.5195685	0.25	0.322581	0.2862905	0.434783	0.536585	0.485684	+	12	EarlyNEstUpLateN	LightBlue	1	0.0006	0.09535
Pf4	1.8026	2.1917	1.4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0779	0.00005	0.0391
Erg	-1.7298	-1.7674	-1.3678	0.426075	0.49789	0.4683543333	0.450954	0.5125	0.4821156667	0.488613	0.543037	0.5238833333	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.0001	0.0002	0.0006
Gm5424	1.554	1.6648	1.3343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.00365	0.00025	0.00345
Acp5	-0.3765	0.4899	3.4956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.162	0.02035	0.00005
Mal	0.2789	0.6827	1.8238	0.4375	0.75	0.6248723333	0.21875	0.666667	0.404788	0.404762	0.598039	0.4898226667	0.687117	0.687117	0.687117	0.328947	0.328947	0.328947	0.598039	0.598039	0.598039	-	10	EarlyNEstNLateUp	Petrol	0.5648	0.14045	0.00285
Cd40	2.3708	1.417	2.7093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.00005	0.0102	0.00005
Sphkap	-1.81	-2.3109	-0.6753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.09145
Alpl	-3.4946	-2.4049	-1.629	0.352941	0.515873	0.434407	0.142857	0.423881	0.283369	0.571429	0.64726	0.6093445	0.352941	0.5	0.4264705	0.142857	0.328205	0.235531	0.571429	0.619565	0.595497	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Elfn1	-1.3056	-1.8468	-1.6018	0.4375	0.705882	0.4976748571	0.3	0.606557	0.4775982857	0.235294	0.530387	0.4637693571	0.586207	0.613636	0.5999215	0.3	0.621622	0.460811	0.235294	0.482143	0.3587185	+	4	AllVLow	Yellow	0.0018	0.00005	0.00025
Edn1	0.9005	2.8343	0.4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.01265	0.00005	0.15245
Gpr68	1.1058	0.44	1.6899	0.2	0.592593	0.429228	0.373134	0.6	0.4737556	0.432432	0.75	0.6189918	0.2	0.505308	0.352654	0.394495	0.6	0.4972475	0.540909	0.636364	0.5886365	-	15	AllMildUp	SeaBlue	0.02105	0.28785	0.00095
LOC100038947	2.0753	3.952	3.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	1	0.00005	0.0868
Pth1r	-1.346	-1.7599	-0.6818	0.476284	0.540707	0.4973043333	0.333333	0.630769	0.438371	0	0.639344	0.4644072222	0	0	0	0	0	0	0	0	0	-	8	EarlyLowEstVLowLateLow	LightGreenUp	0.00005	0.00005	0.00185
Plxnc1	-1.7127	-1.8451	-1.4177	0.423077	0.53886	0.4809685	0.389381	0.645161	0.517271	0.52381	0.578125	0.5509675	0.423077	0.578947	0.501012	0.642857	0.645161	0.644009	0.45	0.52381	0.486905	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Eln	-2.0663	-0.762	-2.5025	0.25	0.597345	0.4236725	0	0.47651	0.238255	0.519231	0.6	0.5596155	0.25	0.423077	0.3365385	0	0.545455	0.2727275	0.382353	0.6	0.4911765	-	4	AllVLow	Yellow	0.00005	0.0001	0.00005
Dsp	-1.06	0.0842	-1.85	0.529412	0.541353	0.5353825	0.428571	0.524272	0.4764215	0.363636	0.51773	0.440683	0.472474	0.529412	0.500943	0.428571	0.477333	0.452952	0.363636	0.485714	0.424675	+	7	EarlyLowEstNLateLow	LightGreen	1	1	0.00025
Cbln1	-1.5001	-1.702	0.696	0.448087	0.663043	0.5433684286	0.281553	0.481481	0.3700985714	0.35	0.621622	0.5518868571	0.545455	0.638889	0.5889843333	0.361702	0.481481	0.422475	0.35	0.571429	0.494643	-	8	EarlyLowEstVLowLateLow	LightGreenUp	0.0057	0.0006	0.12245
Rgs16	0.748	1.8863	-0.3308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.0021	0.00005	0.09605
Stmn4	0.3745	2.1458	1.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	1	0.00325	0.04105
Msr1	0.7619	1.46	2.5555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.11205	0.00005	0.00005
Npy2r	0.4178	0.287	2.1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	1	0.52905	0.0004
Tmem51	0.9407	1.9604	1.3324	0.477876	0.556548	0.5114746667	0.394286	0.5	0.464762	0.59901	0.777778	0.690898	0.477876	0.5	0.488938	0.5	0.5	0.5	0.59901	0.777778	0.688394	-	15	AllMildUp	SeaBlue	0.0654	0.0002	0.00725
Slamf8	4.1121	3.5681	4.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	18	AllVUp	Pink	0.01015	0.00035	0.00225
Rgs5	-0.9314	-0.6057	-1.6332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00925	0.087	0.00005
