SeqName	GC	Length
YAL012W	0.486919831223629	1185
YAL069W	0.434920634920635	315
YAL068W-A	0.352941176470588	255
YAL068C	0.495867768595041	363
YAL067W-A	0.412280701754386	228
YAL067C	0.360830527497194	1782
YAL066W	0.288025889967638	309
YAL065C	0.441860465116279	387
YAL064W-B	0.454068241469816	381
YAL064C-A	0.438320209973753	381
YAL064W	0.368421052631579	285
YAL063C-A	0.281786941580756	291
YAL063C	0.446460065507685	3969
YAL062W	0.486899563318777	1374
YAL061W	0.484051036682616	1254
YAL060W	0.449956483899043	1149
YAL059C-A	0.385342789598109	423
YAL059W	0.403755868544601	639
YAL058W	0.434062292909211	1509
YAL056C-A	0.413105413105413	351
YAL056W	0.395005675368899	2643
YAL055W	0.423572744014733	543
YAL054C	0.453781512605042	2142
YAL053W	0.418792517006803	2352
YAL051W	0.373091603053435	3144
YAL049C	0.418353576248313	741
YAL048C	0.399195575666164	1989
YAL047W-A	0.354545454545455	330
YAL047C	0.365436062065276	1869
YAL046C	0.481792717086835	357
YAL045C	0.472491909385113	309
YAL044W-A	0.471471471471471	333
YAL044C	0.483430799220273	513
YAL043C	0.460135708227311	2358
YAL042C-A	0.478835978835979	378
YAL042W	0.49599358974359	1248
YAL041W	0.389083820662768	2565
YAL040C	0.410786001147447	1743
YAL039C	0.530864197530864	810
YAL038W	0.461743180306055	1503
YAL037C-B	0.462564102564103	975
YAL037C-A	0.32258064516129	93
YAL037W	0.391791044776119	804
YAL036C	0.436936936936937	1110
YAL035W	0.413094051179794	3009
YAL034C-B	0.34180790960452	354
YAL034W-A	0.385057471264368	870
YAL034C	0.421900161030596	1242
YAL033W	0.415708812260536	522
YAL032C	0.452631578947368	1140
YAL031W-A	0.398058252427184	309
YAL031C	0.400788436268068	2283
YAL030W	0.398286937901499	467
YAL029C	0.371603260869565	4416
YAL028W	0.425330812854442	1587
YAL027W	0.384223918575064	786
YAL026C-A	0.333333333333333	438
YAL026C	0.375860373647984	4068
YAL025C	0.422366992399566	921
YAL024C	0.370705663881151	4308
YAL023C	0.445614035087719	2280
YAL022C	0.458172458172458	1554
YAL021C	0.456642800318218	2514
YAL020C	0.55189620758483	1002
YAL019W-A	0.514035087719298	570
YAL019W	0.405771495877503	3396
YAL018C	0.378323108384458	978
YAL017W	0.388847948906902	4071
YAL016C-B	0.258064516129032	186
YAL016C-A	0.40952380952381	315
YAL016W	0.382599580712788	1908
YAL015C	0.434166666666667	1200
YAL014C	0.44921875	768
YAL013W	0.514778325123153	1218
YAL011W	0.415867944621938	1878
YAL010C	0.367071524966262	1482
