Gene	Established_log2.FC.	Established_q_value
Lypla1	-0.0682612	0.956114
Tcea1	-0.02385	0.99069
Atp6v1h	0.295762	0.449878
Rb1cc1	0.261053	0.51925
Fam150a	0.291809	0.919529
St18	0.708206	0.535523
Pcmtd1	0.161476	0.83094
Rrs1	0.266285	0.608335
Adhfe1	0.561772	0.80215
3110035E14Rik	2.21964	1
Sgk3	-0.115163	0.949503
Mcmdc2	-0.101028	1
Cspp1	0.104267	0.938935
Prex2	-0.736412	1
A830018L16Rik	-0.835197	1
Sulf1	0.0733228	0.951333
Terf1	-0.411132	0.425835
Rdh10	0.00536391	0.997647
D030040B21Rik	0.811932	1
Tmem70	-0.020911	0.993051
Ly96	0.301342	0.822972
Gdap1	0.0399419	0.99394
Pi15	-0.410594	0.43529
Crispld1	0.303435	1
Tfap2d	0	1
Tfap2b	0.372525	1
Mir206	0	1
Mir133b	0	1
Il17a	0	1
Paqr8	-0.156518	0.902641
Efhc1	-0.322631	0.75649
Tmem14a	0.0851349	0.978858
Gsta3	2.81883	0.0257733
Khdc1a	0	1
Khdc1c	0	1
Mir30a	0	1
Mir30c-2	1.09204	0.557875
B3gat2	0.349459	1
Col9a1	-4.14734	0.504026
Lmbrd1	0.280633	0.509952
Pih1d3	0	1
Khdrbs2	0.214751	1
1700001G17Rik	0.0370021	1
Rab23	-0.170911	0.792327
Dst	0.635729	0.01975
Imp4	0.13779	0.911844
Ptpn18	0.430511	0.758186
Cfc1	0	1
Arhgef4	0.401743	0.738513
Plekhb2	0.463183	0.131766
Hs6st1	0.132134	0.877185
Arid5a	-0.0253942	0.992015
Cnnm4	0.0638937	0.977808
Cnnm3	0.0696077	0.972042
Cox5b	-0.228725	0.664698
Zap70	-0.295266	1
Cnga3	-0.0263238	1
Inpp4a	0.210633	0.82871
Unc50	-0.0315139	0.987882
Lipt1	0.312841	0.785118
Mrpl30	-0.315135	0.466867
Eif5b	0.200732	0.747015
Pdcl3	0.284232	0.473167
Npas2	-1.02482	0.00254281
Rpl31	-0.141577	0.902398
Cnot11	0.0794174	0.952683
Map4k4	0.374682	0.23569
Il1r2	-0.664417	0.694314
Il1r1	-0.742285	0.00139332
Il1rl2	0.143022	0.878693
Il1rl1	0.914143	0.00139332
Il18r1	2.00414	1
Il18rap	0.683694	0.059127
Slc9a4	1.21827	1
Slc9a2	-0.0847627	1
Tmem182	-0.35591	1
Pou3f3	-0.507272	1
Mrps9	-0.0526214	0.979033
Gpr45	0.510678	0.721961
AI597479	-0.257395	0.658444
Nck2	0.0113959	0.995582
1500015O10Rik	-0.992748	0.00139332
Tpp2	0.109598	0.895926
Bivm	-0.307477	0.820023
Ercc5	-0.124444	0.906566
Gulp1	0.00644014	0.996918
Col3a1	0	1
Wdr75	-0.0762687	0.948366
Tmeff2	-0.12065	0.94662
Sdpr	1.12374	0.00139332
Stat4	0.179873	1
Stat1	0.249878	0.591418
Tmem194b	-0.683715	0.328372
Hibch	-0.278553	0.667159
Ormdl1	-0.0658391	0.978918
Ccdc150	0.255122	1
Coq10b	0.75064	0.00457135
Hspe1	-0.166497	0.940586
Mob4	0.145778	0.840774
Mars2	-0.0359672	0.992015
Plcl1	0.0910162	0.967999
9130024F11Rik	-0.391146	0.934733
1700066M21Rik	-0.143349	0.913
9430016H08Rik	0.0190336	0.995109
Spats2l	-0.204603	0.768572
Sgol2	-0.707502	0.029487
Aox1	0.415552	0.528357
Aox3	-1.65994	1
Aox4	-0.0770152	1
Bzw1	0.0926765	0.928709
Nif3l1	0.143197	0.913
Ndufb3	-0.194341	0.86813
Cflar	0.706672	0.00254281
Casp8	0.248418	0.65339
Stradb	0.00152473	0.998522
Cdk15	-1.59849	0.0340712
Fzd7	-0.0720027	0.952957
Gm973	-1.19123	1
Nop58	0.22808	0.618418
Snord70	0	1
Snord11	0	1
Bmpr2	0.00814789	0.995775
Fam117b	0.152937	0.855494
Carf	-0.411102	0.793591
Nbeal1	0.113261	0.909801
Cyp20a1	-0.0632122	0.963912
Abi2	0.0489171	0.979033
Cd28	1.61903	1
Icos	0.44823	1
Nrp2	0.505234	0.0880734
Zdbf2	-0.302129	1
Adam23	-0.159222	0.860788
Fastkd2	-0.0422579	0.985544
Gm13749	0.503054	1
Creb1	-0.0369932	0.984602
Ccnyl1	0.931457	0.00139332
Pikfyve	0.220076	0.704163
Pth2r	0.310209	1
Map2	0.607581	0.199513
Unc80	-0.389994	1
Rpe	-0.0719131	0.972803
Cps1	0.611669	1
Atic	0.0174923	0.993051
Tmem169	-0.514341	0.654857
Xrcc5	-0.224785	0.737632
Smarcal1	-0.0659371	0.970049
Rpl37a	-0.251948	0.541313
Igfbp2	-1.06512	0.00139332
1700027A15Rik	0	1
Rufy4	0.343094	0.861559
Cxcr2	-0.205465	1
Arpc2	0.19785	0.698834
Gpbar1	0.0205863	0.996211
Pnkd	-0.313938	0.919597
Slc11a1	2.0766	0.00139332
Ctdsp1	-0.289954	0.458482
Mir26b	0	1
Vil1	0	1
Rqcd1	0.00554517	0.997725
Plcd4	0.0122583	1
Bcs1l	-0.41843	0.874466
Stk36	0.0161061	0.995582
Ttll4	0.410205	0.255939
Cyp27a1	0.315791	0.868051
Wnt6	2.50348	0.50232
Wnt10a	-0.74358	1
Cdk5r2	0.222016	1
Fam134a	0.116534	0.901982
Zfand2b	-0.05962	0.979033
Ankzf1	-0.265332	0.928453
Stk16	-0.271977	0.702311
Dnajb2	-0.278423	0.618223
Des	0.640371	0.299237
Speg	-0.312857	0.685786
Gmppa	-0.269201	0.528357
Asic4	1.83934	1
Tmem198	-0.137749	0.967861
Inha	-0.0056799	0.998655
Stk11ip	0.00257691	0.998062
Slc4a3	-0.13357	0.917976
Gm17751	0	1
Sgpp2	0.666079	1
Mogat1	0.012361	1
Kcne4	-1.58293	0.00139332
Mrpl44	-0.0988119	0.947389
Nyap2	-0.22685	0.95395
Rhbdd1	-0.0296869	0.987882
Col4a3	0.590001	1
Mff	0.0384809	0.980982
Agfg1	-0.280384	0.541314
Ccl20	2.57613	0.00139332
Fbxo36	-0.889612	0.931183
Gm7609	1.65572	0.698853
Sp140	0.284416	0.885403
Sp100	1.92122	0.224688
Cab39	0.186109	0.733729
Itm2c	0.143263	0.839261
Spata3	0	1
Psmd1	0.0803827	0.935792
Armc9	-0.173695	0.910228
