GenomicRegion	ScoreSum	NumofElements	RegionSize
3_cgi_shore	15131.8	29339	58678000
3UTR_exon	15855.2	31436	30672977
5_cgi_shore	15131.9	29326	58652000
5UTR_exon	21068.3	45630	8163970
cgi	14939.8	30339	31934594
coding_exon	116775	235182	44230493
distal_downstream_2k_10k	14037.8	27291	252132459
distal_promoter_10k_2k	13737.6	26688	254490690
genebody	11685.8	22911	1207312983
intergenic_5k	12878.3	25219	3035957877
intron	111791	217166	1177120874
proximal_downstream_TTS_2k	14767.4	29009	61806969
proximal_promoter_2k_TSS	14991	29207	66039250
