chromosome	TSS	TES	Gene	h1logFC	h1pval	h3logFC	h3pval	h6logFC	h6pval	h24logFC	h24pval	d7logFC	d7pval
chr1	3204562	3661579	Xkr4	-0.908748	1	-0.817389	1	-0.915796	1	-0.684142	1	-0.690717	1
chr1	4280926	4399322	Rp1	2.85254	1	0	1	0	1	0.202163	1	0	1
chr1	4481008	4486494	Sox17	0.555685	1	1.41375	1	2.97571	1	0.769441	1	-0.598086	1
chr1	4763278	4775807	Mrpl15	0.144056	0.7152	-0.158418	0.6807	0.290741	0.44635	0.0186976	0.95735	0.113629	0.796
chr1	4797973	4836816	Lypla1	0.0421641	0.908	-0.183446	0.57785	-0.10721	0.7377	-0.209338	0.493	-0.553546	0.1467
chr1	4847774	4887990	Tcea1	0.139695	0.6928	0.0277883	0.93325	0.0679384	0.83855	-0.246961	0.4242	-0.638274	0.09305
chr1	4899656	5060366	Rgs20	0.854952	0.16825	1.20525	0.06645	1.14304	0.03835	-0.908992	0.15065	-0.317761	0.6708
chr1	5073253	5152630	Atp6v1h	0.363981	0.2687	0.0821154	0.7864	0.23323	0.4526	-0.0389714	0.89325	0.257104	0.4567
chr1	5578573	5596214	Oprk1	0	1	0	1	0	1	0	1	0	1
chr1	5903787	5907479	Npbwr1	0	1	0	1	0	1	0	1	0	1
chr1	6204742	6266185	Rb1cc1	-0.224896	0.5008	-0.488615	0.1279	-0.054889	0.8543	-0.327095	0.2807	-0.28314	0.4006
chr1	6349411	6384812	Fam150a	1.79109	0.1668	-1.24045	1	0.487639	1	0.632255	1	0.711424	1
chr1	6477311	6851021	St18	0.864352	1	0.963723	1	0.460094	1	0.422707	1	-1.08622	1
chr1	7079000	7163709	Pcmtd1	-0.0749801	0.8179	-0.766248	0.02655	-0.537026	0.09965	-0.324127	0.29525	-0.0908097	0.79935
chr1	8352741	9289811	Sntg1	0	1	0	1	0	1	0	1	-0.779723	1
chr1	9535488	9537536	Rrs1	0.253511	0.44815	0.599696	0.06155	0.212324	0.5058	-0.623058	0.0434	-0.869473	0.0199
chr1	9538126	9621173	2610203C22Rik	0.538476	0.6783	0.315173	0.8418	0.441341	0.7017	-0.0981412	0.9505	-0.379061	0.81835
chr1	9538126	9621173	3110035E14Rik	0.252872	1	0	1	-0.141713	1	-0.125702	1	0.67834	1
chr1	9538126	9621173	Adhfe1	0.169186	0.887	0.102568	0.93045	-1.59532	0.37655	-0.313823	0.7332	0.688558	0.5041
chr1	9658915	9690290	Mybl1	-0.213863	0.7171	0.282358	0.55805	0.168101	0.73315	-0.400869	0.46065	-1.14135	0.054
chr1	9713277	9761337	1700034P13Rik	-1.51185	0.5576	-0.707508	0.7589	-1.40812	0.58585	-1.10102	0.63715	-0.727805	0.7333
chr1	9713277	9761337	Vcpip1	-0.315957	0.382	0.214717	0.5356	0.083644	0.80445	-0.251254	0.44405	-0.100366	0.79135
chr1	9788210	9892649	Sgk3	-0.111679	0.78845	-0.0369882	0.92435	0.106726	0.77405	-0.395961	0.28885	-0.868242	0.05435
