chrom	startCoord	endCoord	GeneName	strand	GROValue
chrI	12045	12426	YAL064W-B	+	-0.475
chrI	31566	32940	YAL062W	+	0.683
chrI	33447	34701	YAL061W	+	2.303
chrI	35154	36303	YAL060W	+	0.508
chrI	36508	37147	YAL059W	+	-0.46
chrI	37463	38972	YAL058W	+	-0.067
chrI	39258	41902	YAL056W	+	-0.102
chrI	42177	42720	YAL055W	+	0.072
chrI	42881	45023	YAL054C	-	0.692
chrI	45899	48251	YAL053W	+	0.781
chrI	48564	51706	YAL051W	+	-0.011
chrI	51853	52594	YAL049C	-	0.082
chrI	52799	54788	YAL048C	-	-0.078
chrI	54987	56856	YAL047C	-	-0.027
chrI	57027	57384	YAL046C	-	-0.143
chrI	57516	57849	YAL044W-A	+	-0.357
chrI	57948	58461	YAL044C	-	-0.018
chrI	58693	61051	YAL043C	-	-0.237
chrI	61314	62562	YAL042W	+	-0.111
chrI	62838	65403	YAL041W	+	-0.159
chrI	65776	67519	YAL040C	-	0.304
chrI	68714	69524	YAL039C	-	0.393
chrI	71784	73287	YAL038W	+	-0.245
chrI	74018	74822	YAL037W	+	0.506
chrI	75041	76151	YAL036C	-	-0.339
chrI	76425	79434	YAL035W	+	-0.242
chrI	79716	80586	YAL034W-A	+	-0.017
chrI	80708	81950	YAL034C	-	0.359
chrI	82704	83226	YAL033W	+	-0.339
chrI	83333	84473	YAL032C	-	0
chrI	84747	87030	YAL031C	-	-0.152
chrI	87284	87751	YAL030W	+	0.728
chrI	87853	92269	YAL029C	-	-0.414
chrI	92898	94485	YAL028W	+	0.407
chrI	94685	95471	YAL027W	+	0.256
chrI	95628	99696	YAL026C	-	0
chrI	100223	101144	YAL025C	-	-1.171
chrI	101563	105871	YAL024C	-	-0.271
chrI	106270	108550	YAL023C	-	-0.364
chrI	108875	110429	YAL022C	-	0
chrI	110844	113358	YAL021C	-	-0.372
chrI	113612	114614	YAL020C	-	-0.551
chrI	114917	118313	YAL019W	+	-0.56
chrI	118562	119540	YAL018C	-	0
chrI	120223	124294	YAL017W	+	0.23
chrI	124877	126785	YAL016W	+	-0.333
chrI	126901	128101	YAL015C	-	0.184
chrI	128250	129018	YAL014C	-	-0.238
chrI	129268	130487	YAL013W	+	-0.253
chrI	130798	131983	YAL012W	+	0.232
chrI	132198	134076	YAL011W	+	-0.139
chrI	134183	135665	YAL010C	-	-0.875
chrI	135853	136633	YAL009W	+	-0.227
chrI	136913	137510	YAL008W	+	0.092
chrI	137697	138345	YAL007C	-	0.188
chrI	139502	141431	YAL005C	-	1.965
chrI	142173	143160	YAL003W	+	-0.678
chrI	143706	147532	YAL002W	+	-0.034
chrI	147594	151167	YAL001C	-	0.66
chrI	152257	153877	YAR002W	+	-0.548
chrI	154065	154725	YAR002C-A	-	-0.259
chrI	155005	156286	YAR003W	+	0.354
chrI	156754	158620	YAR007C	-	0.293
chrI	158966	159794	YAR008W	+	0.259
chrI	166742	168871	YAR014C	-	-0.58
chrI	169374	170295	YAR015W	+	-0.985
chrI	170395	171703	YAR018C	-	-0.226
chrI	172210	175135	YAR019C	-	-0.191
chrI	176855	177023	YAR020C	-	-0.424
chrI	179280	179820	YAR023C	-	0.158
chrI	183769	184477	YAR027W	+	0.13
chrI	184891	185596	YAR028W	+	-0.929
chrI	186320	186545	YAR029W	+	0.394
chrI	186835	187732	YAR031W	+	0.051
chrI	188106	188811	YAR033W	+	-0.236
chrI	190192	192256	YAR035W	+	0.46
chrI	192618	196185	YAR042W	+	-0.281
chrI	203402	208016	YAR050W	+	0.007
chrI	220197	220497	YAR064W	+	0.26
chrI	222405	222891	YAR068W	+	0.388
chrI	225459	226863	YAR071W	+	0.129
chrI	227741	228953	YAR073W	+	0.576
chrII	9960	10551	YBL107C	-	-0.504
chrII	10846	13879	YBL106C	-	-0.222
chrII	14240	17696	YBL105C	-	0.14
chrII	18176	21296	YBL104C	-	-0.16
chrII	22080	23541	YBL103C	-	-0.019
chrII	24102	24750	YBL102W	+	0.449
chrII	24950	28304	YBL101C	-	0.123
chrII	37057	38695	YBL099W	+	0.267
chrII	39149	40532	YBL098W	+	-0.55
chrII	40835	43098	YBL097W	+	0
chrII	43279	44092	YBL095W	+	0.082
chrII	44258	44921	YBL093C	-	0.04
chrII	45980	46373	YBL092W	+	0.396
chrII	46567	47183	YBL091C-A	-	-0.493
chrII	47365	48631	YBL091C	-	-0.062
chrII	48827	49361	YBL090W	+	-0.175
chrII	49576	50956	YBL089W	+	0
chrII	51021	59385	YBL088C	-	-0.494
chrII	59824	60742	YBL087C	-	-0.029
chrII	61204	62605	YBL086C	-	0.366
chrII	63878	66821	YBL085W	+	-0.202
chrII	69753	71130	YBL082C	-	-0.57
chrII	71868	72975	YBL081W	+	-0.349
chrII	73072	74698	YBL080C	-	-0.176
chrII	75261	79770	YBL079W	+	-0.151
chrII	80380	80734	YBL078C	-	0.105
chrII	81045	84264	YBL076C	-	0.022
chrII	84501	86451	YBL075C	-	-0.003
chrII	86724	87792	YBL074C	-	-0.248
chrII	88525	89128	YBL072C	-	0.235
chrII	89980	90229	YBL071W-A	+	-0.222
chrII	90743	92033	YBL069W	+	-0.703
chrII	92416	93397	YBL068W	+	-0.065
chrII	93641	95886	YBL067C	-	-0.273
chrII	96672	100156	YBL066C	-	-0.047
chrII	100411	101197	YBL064C	-	1.145
chrII	101926	105262	YBL063W	+	-0.367
chrII	105356	107447	YBL061C	-	-0.108
chrII	107972	110036	YBL060W	+	-0.037
chrII	110634	111285	YBL059W	+	0.1
chrII	111477	112749	YBL058W	+	-0.004
chrII	112841	113468	YBL057C	-	-0.073
chrII	113802	115209	YBL056W	+	-0.037
chrII	115613	116870	YBL055C	-	-0.204
chrII	117629	119207	YBL054W	+	0
chrII	119419	121915	YBL052C	-	-0.221
chrII	122793	124800	YBL051C	-	-0.274
chrII	125165	126160	YBL050W	+	0.385
chrII	126868	127285	YBL049W	+	0.387
chrII	127935	132081	YBL047C	-	-0.129
chrII	132464	133790	YBL046W	+	-0.294
chrII	134183	135557	YBL045C	-	0.364
chrII	136038	136407	YBL044W	+	0
chrII	136728	137502	YBL043W	+	-0.251
chrII	138381	140301	YBL042C	-	0.446
chrII	141287	142013	YBL041W	+	0.015
chrII	142152	142909	YBL040C	-	0.05
chrII	144029	145769	YBL039C	-	-0.476
chrII	146227	146926	YBL038W	+	-0.229
chrII	147249	150327	YBL037W	+	0.401
chrII	150487	151261	YBL036C	-	-0.26
chrII	151533	153651	YBL035C	-	0.096
chrII	153888	158430	YBL034C	-	0
chrII	158696	159734	YBL033C	-	-0.306
chrII	160224	161370	YBL032W	+	-0.414
chrII	161739	162756	YBL031W	+	0.065
chrII	163081	164038	YBL030C	-	-0.486
chrII	164528	164813	YBL029C-A	-	-0.115
chrII	166174	167305	YBL029W	+	0
chrII	167558	167879	YBL028C	-	-0.526
chrII	168463	169417	YBL027W	+	-0.678
chrII	170663	171079	YBL026W	+	-0.552
chrII	171521	171959	YBL025W	+	-0.309
chrII	172574	174629	YBL024W	+	-0.706
chrII	174960	177567	YBL023C	-	-0.132
chrII	177914	181316	YBL022C	-	0.133
chrII	181700	182135	YBL021C	-	-0.426
chrII	182441	184166	YBL020W	+	-0.235
chrII	184393	185956	YBL019W	+	0.016
chrII	186038	186515	YBL018C	-	-0.174
chrII	186884	191624	YBL017C	-	0.19
chrII	192491	193553	YBL016W	+	-0.775
chrII	194162	195743	YBL015W	+	0.833
chrII	199104	201789	YBL014C	-	-0.313
chrII	202096	203303	YBL013W	+	0.312
chrII	203579	205859	YBL011W	+	0.311
chrII	206148	206991	YBL010C	-	0.079
chrII	207235	209266	YBL009W	+	-0.317
chrII	209694	212217	YBL008W	+	0.117
chrII	212673	216408	YBL007C	-	0.114
chrII	216628	217170	YBL006C	-	-0.134
chrII	217510	220441	YBL005W	+	-0.097
chrII	227676	235158	YBL004W	+	-0.69
chrII	235434	235833	YBL003C	-	-0.245
chrII	236532	236928	YBL002W	+	-0.978
chrII	237193	237508	YBL001C	-	0.12
chrII	238981	241324	YBR001C	-	0.963
chrII	241748	242609	YBR002C	-	-0.423
chrII	242849	244271	YBR003W	+	0.379
chrII	244406	245708	YBR004C	-	1.19
chrII	245946	246588	YBR005W	+	0.7
chrII	247050	248544	YBR006W	+	1.196
chrII	248846	251057	YBR007C	-	0.38
chrII	252603	254250	YBR008C	-	-0.183
chrII	255413	255725	YBR009C	-	-0.287
chrII	256371	256782	YBR010W	+	-0.298
chrII	257152	258016	YBR011C	-	-0.296
chrII	265532	265922	YBR013C	-	-0.011
chrII	266765	267377	YBR014C	-	0.031
chrII	267750	269544	YBR015C	-	-0.191
chrII	270287	270674	YBR016W	+	0.247
chrII	270987	273744	YBR017C	-	-0.431
chrII	274467	275568	YBR018C	-	0
chrII	276293	278393	YBR019C	-	-0.067
chrII	279061	280648	YBR020W	+	-0.484
chrII	281483	283385	YBR021W	+	0.283
chrII	283778	284312	YBR022W	+	0.043
chrII	284468	287966	YBR023C	-	-0.072
chrII	289485	290391	YBR024W	+	0.092
chrII	290721	291906	YBR025C	-	-0.34
chrII	292917	294060	YBR026C	-	-0.181
chrII	294465	296043	YBR028C	-	-1.231
chrII	296409	297783	YBR029C	-	0.045
chrII	298332	299991	YBR030W	+	-0.511
chrII	300206	301295	YBR031W	+	0.316
chrII	301984	304744	YBR033W	+	0.477
chrII	304970	306017	YBR034C	-	-0.536
chrII	306309	306996	YBR035C	-	0.209
chrII	309121	310354	YBR036C	-	-0.116
chrII	310605	311493	YBR037C	-	0.078
chrII	311938	314830	YBR038W	+	0.26
chrII	315615	316551	YBR039W	+	0.245
chrII	317008	317905	YBR040W	+	0
chrII	318306	320314	YBR041W	+	-0.012
chrII	320454	321648	YBR042C	-	-0.221
chrII	321914	323984	YBR043C	-	0.02
chrII	324379	326098	YBR044C	-	-0.224
chrII	328211	330131	YBR045C	-	0
chrII	330545	331550	YBR046C	-	0
chrII	331871	332399	YBR047W	+	-0.337
chrII	332869	333851	YBR048W	+	0.069
chrII	334424	336857	YBR049C	-	-0.536
chrII	337221	338238	YBR050C	-	0.044
chrII	338758	339391	YBR052C	-	0.218
chrII	339713	340790	YBR053C	-	0.819
chrII	343139	344174	YBR054W	+	1.812
chrII	344640	347340	YBR055C	-	-0.225
chrII	347917	349423	YBR056W	+	0.25
chrII	352231	353332	YBR057C	-	-0.108
chrII	353710	356056	YBR058C	-	-0.189
chrII	356899	360226	YBR059C	-	0.147
chrII	360690	362553	YBR060C	-	-0.508
chrII	364825	365758	YBR061C	-	-0.379
chrII	366014	366638	YBR062C	-	-0.262
chrII	367007	368222	YBR063C	-	0.306
chrII	368621	369716	YBR065C	-	0.281
chrII	370074	370737	YBR066C	-	0.083
chrII	372140	372773	YBR067C	-	-0.241
